Green Gram Whole,PULSES AND LEGUMES,10.4,24,1.3,3.5,4.1,56.7,334,124,326,4.4,94,0.47,0.27,2.1,0 ,0,0,0
Green Gram Dhal,PULSES AND LEGUMES,10.1,24.5,1.2,3.5,0.8,59.9,348,75,405,3.9,49,0.47,0.21,2.4,0 ,24.5,140,0
Horse Gram Whole,PULSES AND LEGUMES,11.8,22,0.5,3.2,5.3,57.2,321,287,311,6.77,71,0.42,0.2,1.5,0 ,0,0,1
Khesari Dhal,PULSES AND LEGUMES,10,28.2,0.6,2.3,2.3,56.6,345,90,317,6.3,120,0.39,0.17,2.9,0 ,0,0,0
Lentil,PULSES AND LEGUMES,12.4,25.1,0.7,2.1,0.7,59,343,69,293,7.58,270,0.45,0.2,2.6,0 ,14.5,36,0
Moth Beans,PULSES AND LEGUMES,10.8,23.6,1.1,3.5,4.5,56.5,330,202,230,9.5,9,0.45,0.09,1.5,0 ,0,0,2
Peas Green,PULSES AND LEGUMES,72.9,7.2,0.1,0.8,4,15.9,93,20,139,1.5,83,0.25,0.01,0.8,0 ,0,0,9
Peas Dry,PULSES AND LEGUMES,16,19.7,1.1,2.2,4.5,56.5,315,75,298,7.05,39,0.47,0.19,3.4,0 ,4.6,7.5,0
Peas Rosted,PULSES AND LEGUMES,10.1,22.9,1.4,2.4,4.4,58.8,340,81,345,6.4,18,0.47,0.21,3.5,0 ,0,0,0
Rajmah,PULSES AND LEGUMES,12,22.9,1.3,3.2,4.8,60.6,346,260,410,5.1,0,0,0,0,0 ,0,0,0
Red Gram Dhal,PULSES AND LEGUMES,13.4,22.3,1.7,3.5,1.5,57.6,335,73,304,2.7,132,0.45,0.19,2.9,0.54,19,103,0
Red Gram Tender,PULSES AND LEGUMES,65.1,9.8,1,1,6.2,16.9,116,57,164,1.1,469,0.32,0.33,3,0 ,0,0,25
Soyabean,PULSES AND LEGUMES,8.1,43.2,19.5,4.6,3.7,20.9,432,240,690,10.4,426,0.73,0.39,3.2,0 ,8.65,100,0
Agathi,LEAFY VEGETABLES,73.1,8.4,1.4,3.1,2.2,11.8,93,1130,80,3.9,5400,0.21,0.09,1.2,0,0 ,0,169
Amaranth Caudatus,LEAFY VEGETABLES,90,3,0.7,3.3,1,2,26,200,40,0,0,0,0,0,0 ,0,0,0
Amaranth Gangeticus Tender,LEAFY VEGETABLES,85.7,4,0.5,2.7,1,6.1,45,397,83,3.49,5520,0.03,0.3,1.2,0 ,41,149,99
Amaranth Gangeticus Stem,LEAFY VEGETABLES,92.5,0.9,0.1,1.8,1.2,3.5,19,260,30,1.8,255,0.01,0.18,0,0 ,0,0,10
Amaranth Paniculatus (Rajagira Leaves),LEAFY VEGETABLES,78.6,5.9,1,3.8,2.1,8.6,67,530,60,18.4,14190,0.01,0.24,1.1,0 ,0,0,81
Amaranth Polygonoides (Sirukeerai),LEAFY VEGETABLES,90,2.8,0.3,2.1,0,4.8,33,251,55,27.3,0,0,0,0,0 ,0,0,0
Amaranth Spinosus,LEAFY VEGETABLES,85,3,0.3,3.6,1.1,7,43,800,50,22.9,3564,0,0,0,0 ,0,0,33
Amaranth Species Chakravarthikeerai,LEAFY VEGETABLES,80.6,4.5,0.6,4.2,1.6,8.5,57,321,71,18,0,0,0,0,0 ,0,0,0
Amaranth Species Koyakeerai,LEAFY VEGETABLES,88,2.8,0.5,1.2,2.2,5.3,37,292,51,2.5,0,0,0,0,0 ,0,0,0
Amaranth Tristis (Araikeerai),LEAFY VEGETABLES,87,2.8,0.4,2.4,0,7.4,44,364,52,38.5,0,0,0,0,0 ,0,0,0
Amaranth Viridis (Kuppakeerai),LEAFY VEGETABLES,81.8,5.2,0.3,2.8,6.1,3.8,38,330,52,18.7,0,0,0,0,0 ,0,0,179
Ambat Chuka,LEAFY VEGETABLES,95.2,1.6,0.3,0.9,0.6,1.4,15,63,17,0.75,3660,0.03,0.06,0.2,0 ,40,125,12
Bathua Leaves,LEAFY VEGETABLES,89.6,3.7,0.4,2.6,0.8,2.9,30,150,80,4.2,1740,0.01,0.14,0.6,0 ,0,0,35
Beet Greens,LEAFY VEGETABLES,86.4,3.4,0.8,2.2,0.7,6.5,46,380,30,16.2,5862,0.26,0.56,3.3,0 ,0,0,70
Bengal Gram Leaves,LEAFY VEGETABLES,73.4,7,1.4,2.1,2,14.1,97,340,120,23.8,0,0,0,0,0 ,0,0,0
Betel Leaves,LEAFY VEGETABLES,85.4,3.1,0.8,2.3,2.3,6.1,44,230,40,10.6,5760,0.07,0.03,0.7,0 ,0,0,5
Bottle Gourd Leaves,LEAFY VEGETABLES,87.9,2.3,0.7,1.7,1.3,6.1,39,80,59,0,0,0,0,0,0 ,0,0,0
Broad Bean Leaves,LEAFY VEGETABLES,77.6,5.6,0.3,1.3,3.7,11.5,71,111,149,0,0,0,0,0,0 ,0,0,0
Brusseles Sprouts,LEAFY VEGETABLES,85.5,4.7,0.5,1,1.2,7.1,52,43,82,1.8,126,0.05,0.16,0.4,0 ,0,0,72
Cabbage,LEAFY VEGETABLES,91.9,1.8,0.1,0.6,1,4.6,27,39,44,0.8,120,0.06,0.09,0.4,0 ,13.3,23,124
Carrot Leaves,LEAFY VEGETABLES,76.6,5.1,0.5,2.8,1.9,13.1,77,340,110,8.8,5700,0.04,0.37,2.1,0 ,0,0,79
Cauliflower Greens,LEAFY VEGETABLES,80,5.9,1.3,3.2,2,7.6,66,626,107,40,0,0,0,0,0 ,0,0,0
Celery Leaves,LEAFY VEGETABLES,88,6.3,0.6,2.1,1.4,1.6,37,230,140,6.3,3990,0,0.11,1.2,0 ,0,0,62
Celery Stalk,LEAFY VEGETABLES,93.5,0.8,0.1,0.9,1.2,3.5,18,30,38,4.8,520,0.12,0.05,0.3,0 ,0,0,6
Chekkur Manis,LEAFY VEGETABLES,73.6,6.8,3.2,3.4,1.4,11.6,103,570,200,28,5706,0.48,0.32,2.6,0 ,0,0,247
Colocasia Leaves Black Variety,LEAFY VEGETABLES,78.8,6.8,2,2.5,1.8,8.1,77,460,125,0.98,12000,0.06,0.45,1.9,0 ,0,0,63
Colocasia Leaves Green Variety,LEAFY VEGETABLES,82.7,3.9,1.5,2.2,2.9,6.8,56,227,82,10,10278,0.22,0.26,1.1,0 ,0,0,12
